,spotify_id,daily_rank,popularity,is_explicit,duration_ms,album_name,album_release_date,time_signature,rank,artists_num,artist_individual,artist_id,artist_genre,album_num_tracks,weeks_on_chart,duration,region,language,track_name,artist_names,country,loudness,tempo,artist_count_df1,bpm_df1,artist_count_df2,streams,bpm_df2,key,mode,danceability,valence,energy,acousticness,instrumentalness,liveness,speechiness,release_date,has_lyrics,lyrics_url,scraped,primary_artist,feat_artist,lyric_url,is_english,is_english_lyrics,overall_sentiments,overall_emotions,topics,overall_topics
2627,1IcR6RlgvDczfvoWJSSY2A,16.0,79.0,0.0,151000.0,The Andy Williams Christmas Album,1963-01-01,3.0,4.0,1.0,Andy Williams,spotify:artist:4sj6D0zlMOl25nprDJBiU9,mellow gold,12.0,35.0,151000.0,North America,English,It's the Most Wonderful Time of the Year,Andy Williams,Canada,-11.656,201.739,1.0,202.0,1.0,1447472.0,202.0,2,1,0.234,0.649,0.526,0.871,2.34e-06,0.122,0.0411,"June 19, 1995",True,,True,Andy Williams,,https://genius.com/Andy-williams-its-the-most-wonderful-time-of-the-year-re-recorded-lyrics,1,1,positive sentiment,emotion is joy,['song about happiness and celebration'],song about happiness and celebration
2628,2snThw2Vm8oCwfdsF9RZzg,,,,,,,,122.0,1.0,David Campbell,spotify:artist:6tUwA7Nt6EoMLy48nNVrgq,australian pop,12.0,2.0,151067.0,Oceania,English,It's the Most Wonderful Time of the Year,David Campbell,New Zealand,-4.024,67.07,,,,67249.0,,2,1,0.356,0.652,0.704,0.475,0.0,0.0934,0.0358,,False,,False,,,,1,1,,,,
2629,79P1sxrpp1phhTgF1gkaI8,,,,,,,,3.0,2.0,BNXN fka Buju,spotify:artist:3zaDigUwjHvjOkSn0NDf9x,nigerian pop,1.0,1.0,188395.0,Africa,English,Italy (feat. Blaq Diamond),"BNXN fka Buju, Blaq Diamond",Nigeria,-10.26,112.969,,,,95578.0,,11,1,0.837,0.787,0.693,0.172,3.41e-06,0.103,0.0601,,False,,False,,,,1,1,,,,
2630,61g5DDHobx9aPCBsKgKiqP,48.0,44.0,0.0,176000.0,It's Ok If You Forget Me,2025-01-17,4.0,,,,,,,,,,,ItÂ´s Ok If You Forget Me (feat. Emma Jensen),"Thomas Dybdahl, Emma Jensen, Hver gang vi mÃ¸tes",NO,-13.339,69.961,,,,,,5,1,0.589,0.5,0.315,0.826,0.00017,0.136,0.0614,,False,,False,,,,1,1,,,,
2631,2SR0alFA2oWYXSoePGTj0V,11.0,75.0,0.0,181677.0,Happy - :D (Remixes),2024-11-19,4.0,,,,,,,,,,,Iâ€™ll Be There,Jin,TW,-2.412,148.887,,,,,,10,1,0.538,0.736,0.738,0.0351,0.0,0.0898,0.0445,,False,,False,,,,1,1,,,,
2632,6LtHYDgYHRCHoKK3snfr2w,,,,,,,,12.0,2.0,Labrinth,spotify:artist:2feDdbD5araYcm6JhFHHw7,indie poptimism,1.0,2.0,187944.0,North America,English,Iâ€™m Tired (with Zendaya) - Bonus Track,"Labrinth, Zendaya",United States,-10.624,131.721,,,,3852668.0,,0,0,0.375,0.192,0.133,0.650999999999999,0.0,0.0695,0.0352,,False,,False,,,,1,1,,,,
2633,1yYN9YC5dDYuho1oCl1sy3,49.0,33.0,1.0,130679.0,Chambre 140 (Part.2),2024-01-25,4.0,,,,,,,,,,,J'attends,PLK,FR,-11.736,93.086,,,,,,10,0,0.704,0.401,0.448,0.395,2.98e-05,0.151,0.471,,False,,False,,,,1,1,,,,
2634,2raFBS5ysJMxhd755bvAcf,50.0,70.0,0.0,145919.0,.mp3,2023-11-03,5.0,,,,,,,,,,,JET_Set.mp3,"Emilia, NATHY PELUSO",AR,-4.108,135.515,,,,,,0,1,0.658,0.568,0.798,0.0341,0.0,0.175,0.138,,False,,False,,,,1,1,,,,
2635,51D9PHMiMxuRGtGz61F4QN,44.0,49.0,0.0,204487.0,COWBOY CARTER,2024-03-27,4.0,,,,,,,,,,,JUST FOR FUN,"BeyoncÃ©, Willie Jones",US,-8.559,72.403,,,,,,9,1,0.466,0.127,0.434,0.549,1.3e-05,0.18,0.0382,"March 29, 2024",True,,True,BeyoncÃ©,Willie Jones,https://genius.com/Beyonce-and-willie-jones-just-for-fun-lyrics,1,1,negative sentiment,emotion is joy,"['song about ambition and success', 'song about happiness and celebration', 'song about mental health', 'song about happiness and celebration', 'song about spirituality and faith', 'song about happiness and celebration']",song about happiness and celebration
2636,7tTRFVlFzk6yTnoMcParmi,,,,,,,,68.0,1.0,NF,spotify:artist:6fOMl44jA4Sp5b9PpYCkzz,pop rap,11.0,1.0,251237.0,North America,English,JUST LIKE YOU,NF,United States,-4.607,140.043999999999,,,,2358328.0,,9,0,0.775,0.541,0.757,0.489,0.0,0.28,0.228,"March 26, 2021",True,,True,NF,,https://genius.com/Nf-just-like-you-lyrics,1,1,negative sentiment,emotion is fear,"['song about social issues', 'song about spirituality and faith', 'song about social issues', 'song about social issues', 'song about social issues', 'song about personal growth', 'song about social issues']",song about social issues
2637,3b38fvc4ky0er6WEBruHMf,33.0,70.0,0.0,162791.0,"Jaada (From ""Aavesham"")",2024-02-27,4.0,,,,,,,,,,,"Jaada - From ""Aavesham""","Sushin Shyam, Sreenath Bhasi, Vinayak Sasikumar",AE,-6.295,89.983,,,,,,4,0,0.84,0.555,0.668,0.201,0.0116,0.171,0.136,,False,,False,,,,1,1,,,,
2638,2jjmmklmlTnS5WEYrL0MkN,26.0,3.0,1.0,224146.0,James Blake,2023-11-24,4.0,,,,,,,,,,,James Blake,"Provinz, ENNIO",DE,-8.813,117.067,,,,,,6,1,0.73,0.259,0.435,0.795,0.000373,0.112,0.0422,,False,,False,,,,1,1,,,,
2639,0MUYz3mFk0YfjosHHw6sLL,32.0,35.0,0.0,135854.0,Ball Prince's,2024-02-26,4.0,,,,,,,,,,,Jamil and One Nights,Hugo Prada,LU,-27.989,124.997,,,,,,6,0,0.818,0.587,0.112,0.00815,0.866,0.105,0.105,,False,,False,,,,1,1,,,,
2640,7g43YzKWtb1NMRcwD896ww,,,,,,,,104.0,1.0,Migos,spotify:artist:6oMuImdp5ZcFhWP0ESe6mG,atl hip hop,19.0,1.0,202004.0,North America,English,Jane,Migos,United States,-6.656,125.983,,,,2082097.0,,9,1,0.94,0.287,0.534,0.325,0.0,0.235,0.228,,False,,False,,,,1,1,,,,
2641,6D4MeOwamBjPt1FI3l3Uzs,38.0,64.0,1.0,166615.0,Jangrova (feat. Tribal Mark),2024-01-19,5.0,,,,,,,,,,,Jangrova (feat. Tribal Mark),"Skepta, ODUMODUBLVCK, Idris Elba, Tribal Mark",NG,-5.992,88.54,,,,,,1,0,0.524,0.524,0.847,0.76,0.00159,0.182,0.289,,False,,False,,,,1,1,,,,
